HIP,common name,Vmag,Abs Mag,Distance_pc,B-V ,"SpectralType"
72659,37 Bootis,4.54,5.41,6.6997,0.72,G8V + K4V
106106,Ross 775,10.33,11.19,6.7435,1.62,M4
114176,,12.28,13.13,6.759,,
113296,Ross 671,8.68,9.49,6.8837,1.507,M2:
84709,,5.91,6.69,6.9711,1.082,K4V
103096,,8.55,9.31,7.0447,1.483,M2V
12114,,5.79,6.5,7.2088,0.918,K3V
51317,Ross 446,9.65,10.35,7.2312,1.507,M2
83945,,11.77,12.47,7.2548,1.696,M3
3765,Wolf 25,5.74,6.38,7.4605,0.89,K2V
7981,107 Piscium,5.24,5.87,7.4677,0.836,K1V
2021,b Hydri,2.82,3.45,7.475,0.618,G2IV
73182,,8.01,8.64,7.4833,1.519,K5V
12781,VX Arietis or Ross 556,10.55,11.16,7.5517,1.53,M3.5Ve
5336,m Cassiopei A,5.17,5.78,7.5529,0.704,G5Vp
65859,Ross 490,9.05,9.64,7.6266,1.493,M1V
